video_block,video_path,prompt_idx,prompt_name,start_time_ms,end_time_ms,start_time_s,end_time_s,faces_and_hands,include_coords,exclude_coords
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,316,field,48636,50274,48.636,50.274,False,[],[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,317,small birds faces,50316,54264,50.316,54.264,True,[],[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,319,big bird wings,54306,58000,54.306,58.0,False,[],[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,318,big bird face,54306,58000,54.306,58.0,True,[],[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,320,wire,54306,58000,54.306,58.0,False,"[[467, 656]]",[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,324,big bird wings,55566,68000,55.566,68.0,False,"[[500, 15], [757, 15]]",[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,321,small birds faces,58296,62958,58.296,62.958,True,[],[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,325,big bird face,60000,64764,60.0,64.764,True,"[[626, 8]]",[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,322,small birds faces,60000,68000,60.0,68.0,True,[],[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,323,big bird feet,60732,62874,60.732,62.874,False,"[[647, 87], [610, 23]]",[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,327,big bird face,61110,71000,61.11,71.0,True,[],[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,326,small birds faces,65814,70812,65.814,70.812,True,[],[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,328,big bird feet,68000,71000,68.0,71.0,False,[],[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,329,big bird face,70854,72240,70.854,72.24,True,"[[579, 281]]",[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,330,small birds faces,72282,73584,72.282,73.584,True,"[[488, 291], [649, 187], [872, 125]]",[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,332,big bird face,73584,77574,73.584,77.574,True,"[[678, 191]]",[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,331,small birds faces,73584,85218,73.584,85.218,True,"[[342, 449], [989, 418]]",[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,334,big bird wings,79000,80094,79.0,80.094,False,[],[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,333,big bird face,79212,80094,79.212,80.094,True,"[[563, 390]]","[[254, 382], [1134, 305]]"
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,338,wire,79212,85218,79.212,85.218,False,"[[1113, 312], [213, 371]]",[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,335,big bird feet,79296,80304,79.296,80.304,False,"[[614, 611], [637, 614]]",[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,337,big bird feet,80346,86352,80.346,86.352,False,[],"[[926, 405], [1077, 341], [1206, 230], [377, 412]]"
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,336,small birds faces,86394,89208,86.394,89.208,True,"[[405, 124], [995, 107]]",[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,340,big bird feet,89250,91560,89.25,91.56,False,"[[573, 692], [651, 694]]","[[179, 480], [516, 626], [903, 537], [974, 498], [1045, 466]]"
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,339,small birds faces,89250,95172,89.25,95.172,True,"[[615, 476]]",[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,341,small birds faces,89250,97314,89.25,97.314,True,"[[17, 195], [108, 265], [264, 326], [381, 402], [546, 457], [666, 447], [829, 384], [938, 318], [1084, 236], [1204, 192]]",[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,342,big bird feet,95214,103404,95.214,103.404,False,"[[612, 226], [645, 218]]",[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,343,big bird face,95844,102270,95.844,102.27,True,"[[586, 714]]",[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,345,small birds faces,102312,107000,102.312,107.0,True,"[[534, 268], [766, 230], [1149, 100], [59, 105]]",[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,344,big bird face,105420,106218,105.42,106.218,True,"[[684, 633]]",[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,347,big bird,106260,108000,106.26,108.0,False,"[[648, 568]]",[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,349,field,106260,108000,106.26,108.0,False,"[[425, 697]]",[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,348,wire,106260,108000,106.26,108.0,False,"[[792, 370], [494, 387]]",[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,346,small birds,106260,108000,106.26,108.0,False,[],[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,350,small birds faces,108108,114240,108.108,114.24,True,[],[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,351,big bird feet,108738,109242,108.738,109.242,False,"[[599, 594]]","[[890, 446], [1184, 301]]"
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,352,small birds faces,114282,119112,114.282,119.112,True,[],[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,353,feathers,119070,121380,119.07,121.38,False,[],[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,356,big bird feet,121422,126168,121.422,126.168,False,"[[600, 175]]",[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,354,big bird face,121422,126168,121.422,126.168,True,"[[577, 604]]",[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,355,big bird body,121422,126168,121.422,126.168,False,"[[623, 486]]",[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,358,feathers,126210,132216,126.21,132.216,False,"[[1046, 55], [344, 208], [233, 103], [856, 13], [275, 33]]","[[692, 212], [832, 684]]"
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,357,big bird face,126210,132216,126.21,132.216,True,"[[685, 301]]",[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,359,small bird,131250,131334,131.25,131.334,False,"[[218, 68]]",[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,360,small bird face,132258,139986,132.258,139.986,True,"[[401, 575]]",[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,361,big bird face,133728,136584,133.728,136.584,True,"[[1232, 288]]","[[418, 359]]"
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,363,leaf,134000,139986,134.0,139.986,False,[],[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,362,big bird wing,135240,136584,135.24,136.584,False,[],[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,366,big bird wing,137214,139986,137.214,139.986,False,[],[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,365,big bird face,140028,147966,140.028,147.966,True,"[[565, 461]]","[[371, 583]]"
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,364,small birds faces,140028,149000,140.028,149.0,True,"[[371, 582], [942, 15], [1090, 114], [513, 58], [57, 113], [139, 113], [837, 27], [1155, 41], [1255, 133], [214, 23], [494, 57], [1057, 17], [617, 105], [965, 81], [46, 91]]",[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,368,big bird wing,140028,150024,140.028,150.024,False,"[[634, 561], [572, 521]]",[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,367,big bird face,148008,150150,148.008,150.15,True,[],[]
Sesame India 2,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_2_stripped.mp4,269,muppet Face,600,11840,0.6,11.84,True,[],[]
Sesame India 2,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_2_stripped.mp4,271,hands,12320,15760,12.32,15.76,True,"[[1269, 606]]",[]
Sesame India 2,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_2_stripped.mp4,272,trashcan,12320,20320,12.32,20.32,False,[],[]
Sesame India 2,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_2_stripped.mp4,270,child face,12400,20320,12.4,20.32,True,[],[]
Sesame India 2,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_2_stripped.mp4,273,muppet face,13120,20320,13.12,20.32,True,[],[]
Sesame India 2,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_2_stripped.mp4,274,muppet face,20360,23960,20.36,23.96,True,[],[]
Sesame India 2,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_2_stripped.mp4,275,children faces,23000,25640,23.0,25.64,True,"[[1040, 323]]",[]
Sesame India 2,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_2_stripped.mp4,276,child face,25680,29560,25.68,29.56,True,[],[]
Sesame India 2,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_2_stripped.mp4,277,muppet face,25680,29560,25.68,29.56,True,"[[900, 225]]",[]
Sesame India 2,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_2_stripped.mp4,278,child face,29600,32760,29.6,32.76,True,"[[580, 279]]",[]
Sesame India 2,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_2_stripped.mp4,279,child face,32800,34600,32.8,34.6,True,"[[418, 297]]",[]
Sesame India 2,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_2_stripped.mp4,281,muppet hands,32800,34600,32.8,34.6,True,"[[826, 608], [1047, 639]]",[]
Sesame India 2,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_2_stripped.mp4,280,muppet face,32800,34600,32.8,34.6,True,"[[942, 274]]",[]
Sesame India 2,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_2_stripped.mp4,282,Apple slices,34640,37840,34.64,37.84,False,"[[504, 359]]",[]
Sesame India 2,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_2_stripped.mp4,283,hands,34640,37840,34.64,37.84,True,"[[41, 359]]",[]
Sesame India 2,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_2_stripped.mp4,284,child face,35520,38000,35.52,38.0,True,"[[252, 75]]",[]
Sesame India 2,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_2_stripped.mp4,285,person face,38040,40800,38.04,40.8,True,"[[345, 365]]",[]
Sesame India 2,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_2_stripped.mp4,286,hands,38880,40800,38.88,40.8,True,[],[]
Sesame India 2,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_2_stripped.mp4,287,feet,38960,40800,38.96,40.8,False,[],[]
Sesame India 2,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_2_stripped.mp4,289,hands,40840,46120,40.84,46.12,True,[],[]
Sesame India 2,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_2_stripped.mp4,288,child face,40840,48360,40.84,48.36,True,"[[170, 384]]",[]
Sesame India 2,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_2_stripped.mp4,290,book,40840,48840,40.84,48.84,False,[],[]
Sesame India 2,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_2_stripped.mp4,291,muppet face,48880,54800,48.88,54.8,True,"[[324, 277]]",[]
Sesame India 2,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_2_stripped.mp4,292,children faces,48880,54800,48.88,54.8,True,"[[691, 465], [928, 251]]",[]
Sesame India 2,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_2_stripped.mp4,293,muppet face,54840,60120,54.84,60.12,True,"[[409, 318]]",[]
Sesame India 2,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_2_stripped.mp4,294,muppet hand,54840,60120,54.84,60.12,True,"[[911, 693]]",[]
Sesame India 2,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_2_stripped.mp4,295,children faces,60160,60840,60.16,60.84,True,"[[383, 557]]",[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,0,cow face,0,1000,0.0,1.0,True,[],[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,1,turkey face,510,3400,0.51,3.4,True,[],[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,3,adult face,3000,8000,3.0,8.0,True,"[[1126, 129]]",[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,4,muppet face,3434,7990,3.434,7.99,True,"[[770, 200]]",[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,2,child face,3434,7990,3.434,7.99,True,[],[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,5,child face,8000,11000,8.0,11.0,True,[],[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,6,goat face,8000,11458,8.0,11.458,True,[],[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,7,hands,8000,11458,8.0,11.458,True,[],[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,8,child face,11492,18768,11.492,18.768,True,[],[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,9,adult face,11492,18768,11.492,18.768,True,"[[993, 153]]",[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,10,muppet face,11492,18768,11.492,18.768,True,"[[623, 222]]",[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,12,bucket,18802,20094,18.802,20.094,False,[],[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,11,hand,18802,20298,18.802,20.298,True,[],[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,13,sand,18972,20298,18.972,20.298,False,"[[575, 335]]",[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,15,bucket,20128,20127,20.128,20.127,False,[],[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,369,adult face,20128,22372,20.128,22.372,True,"[[601, 184]]",[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,14,child faces,20128,22372,20.128,22.372,True,[],[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,16,hands,20332,24664,20.332,24.664,True,[],[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,370,bucket,22406,27914,22.406,27.914,False,[],[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,17,chicken,24000,27914,24.0,27.914,False,[],[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,21,muppet face,27948,32470,27.948,32.47,True,"[[881, 417]]",[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,19,adult face,27948,32470,27.948,32.47,True,[],[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,20,hand,27948,32470,27.948,32.47,True,[],[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,371,sheep face,27982,32470,27.982,32.47,True,[],[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,22,sheep face,32504,35666,32.504,35.666,True,[],[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,372,hand,32504,35666,32.504,35.666,True,[],[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,24,hand,32504,37000,32.504,37.0,True,[],[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,23,sheep face,32504,37000,32.504,37.0,True,[],[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,18,people,32518,27914,32.518,27.914,False,[],[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,25,muppet face,35632,36686,35.632,36.686,True,"[[814, 413]]",[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,27,adult face,35632,36686,35.632,36.686,True,"[[391, 219]]",[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,26,sheep face,35632,36686,35.632,36.686,True,"[[561, 646]]",[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,29,sheep face,36720,38556,36.72,38.556,True,"[[453, 195]]",[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,28,muppet hand,36720,38556,36.72,38.556,True,"[[258, 558]]",[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,33,sheep,38590,48892,38.59,48.892,False,[],[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,30,muppet face,38590,48892,38.59,48.892,True,"[[399, 309]]",[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,31,muppet hand,38590,48892,38.59,48.892,True,"[[630, 585]]",[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,32,sheep muppet face,39000,49000,39.0,49.0,True,"[[1035, 546]]",[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,34,adult face,48790,51748,48.79,51.748,True,[],[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,35,muppet face,48790,51748,48.79,51.748,True,"[[1067, 263]]",[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,36,chicken faces,51782,54977,51.782,54.977,True,[],[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,373,adult faces,54944,58718,54.944,58.718,True,"[[809, 128], [507, 169]]",[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,37,child faces,55080,58718,55.08,58.718,True,[],[]
Sesame US 1,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,38,eggs,58888,60384,58.888,60.384,False,[],[]
Slow People,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_people_stripped.mp4,105,dog,0,10234,0.0,10.234,False,[],[]
Slow People,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_people_stripped.mp4,104,bike,0,14858,0.0,14.858,False,[],[]
Slow People,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_people_stripped.mp4,102,faces,0,14858,0.0,14.858,True,"[[441, 349], [949, 402]]",[]
Slow People,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_people_stripped.mp4,103,hands,0,14858,0.0,14.858,True,"[[371, 521]]",[]
Slow People,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_people_stripped.mp4,108,rocks,15000,30328,15.0,30.328,False,[],[]
Slow People,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_people_stripped.mp4,107,hands,15000,30396,15.0,30.396,True,[],[]
Slow People,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_people_stripped.mp4,106,faces,15232,30362,15.232,30.362,True,[],[]
Slow People,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_people_stripped.mp4,109,logs,30498,45000,30.498,45.0,False,"[[1220, 552]]",[]
